Last_Three_Digits,Date,Month,Years,First_Price,Last_Two_Digits_Upper,Three_Digits_Upper,Last_Two_Digits_Under,Datetime,day_of_week,weekday_name
736 598 148 639,16,8,2555,683877,77,877,28,2012-08-16,3,พฤหัสบดี
032 612 775 730,1,8,2555,895590,90,590,50,2012-08-01,2,พุธ
820 599 796 745,16,7,2555,904050,50,50,11,2012-07-16,0,จันทร์
897 224 159 042,1,7,2555,915900,0,900,60,2012-07-01,6,อาทิตย์
715 656 530 611,16,6,2555,159373,73,373,51,2012-06-16,5,เสาร์
238 790 479 547,1,6,2555,882727,27,727,38,2012-06-01,4,ศุกร์
606 576 895 399,16,5,2555,814418,18,418,31,2012-05-16,2,พุธ
504 309 902 101,2,5,2555,889501,1,501,29,2012-05-02,2,พุธ
589 597 426 468,16,4,2555,583470,70,470,62,2012-04-16,0,จันทร์
216 088 722 754,1,4,2555,257562,62,562,69,2012-04-01,6,อาทิตย์
581 074 616 332,16,3,2555,607064,64,64,8,2012-03-16,4,ศุกร์
606 333 573 350,1,3,2555,222518,18,518,79,2012-03-01,3,พฤหัสบดี
295 135 711 199,16,2,2555,648684,84,684,18,2012-02-16,3,พฤหัสบดี
906 214 111 420,1,2,2555,320605,5,605,32,2012-02-01,2,พุธ
749 426 498 598,16,1,2555,451445,45,445,81,2012-01-16,0,จันทร์
328 150 941 639,30,12,2554,526402,2,402,65,2011-12-30,4,ศุกร์
168 026 541 597,16,12,2554,884178,78,178,21,2011-12-16,4,ศุกร์
784 235 651 295,1,12,2554,408147,47,147,2,2011-12-01,3,พฤหัสบดี
922 253 857 739,16,11,2554,997777,77,777,57,2011-11-16,2,พุธ
425 551 406 993,1,11,2554,805540,40,540,54,2011-11-01,1,อังคาร
771 380 065 221,16,10,2554,955756,56,756,83,2011-10-16,6,อาทิตย์
991 057 329 507,1,10,2554,511052,52,52,15,2011-10-01,5,เสาร์
957 104 189 499,16,9,2554,731198,98,198,28,2011-09-16,4,ศุกร์
384 645 812 589,1,9,2554,724533,33,533,85,2011-09-01,3,พฤหัสบดี
847 021 533 821,16,8,2554,536960,60,960,62,2011-08-16,1,อังคาร
814 345 074 005,1,8,2554,218756,56,756,12,2011-08-01,0,จันทร์
